ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11551366,JB573021,12/30/2018 15:15,001XX E RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,114,1,42,32,6,1177756,1901309,2018,1/10/2019 15:16,41.88451663,-87.62270955,"(41.884516629, -87.622709551)",22,"14,309",38,580,36,42,22,87
11551297,JB572785,12/30/2018 14:48,015XX E 55TH ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,234,2,5,41,6,1187488,1868839,2018,1/10/2019 15:16,41.79519055,-87.58800765,"(41.795190552, -87.588007653)",1,"21,192",8,477,33,10,24,122
11551309,JB572746,12/30/2018 14:25,016XX E 95TH ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,431,4,7,51,6,1188861,1842311,2018,1/10/2019 15:16,41.7223626,-87.58382047,"(41.722362598, -87.58382047)",43,"21,202",48,252,37,25,19,249
11551214,JB572777,12/30/2018 13:30,0000X N MICHIGAN AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1177309,1900530,2018,1/10/2019 15:16,41.88238916,-87.62437461,"(41.882389156, -87.624374606)",22,"14,309",38,580,36,41,22,87
11550984,JB572366,12/30/2018 8:13,055XX W CHICAGO AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,1524,15,37,25,6,1139204,1904791,2018,1/10/2019 15:16,41.89486045,-87.764194,"(41.894860447, -87.764194002)",4,"22,216",26,673,45,32,25,67
11550988,JB572439,12/30/2018 8:00,049XX W NORTH AVE,810,THEFT,OVER $500,RESTAURANT,FALSE,FALSE,2533,25,37,25,6,1143068,1910180,2018,1/10/2019 15:16,41.90957726,-87.74986778,"(41.909577258, -87.749867783)",4,"22,615",26,523,45,5,6,195
11550848,JB572282,12/30/2018 4:00,003XX N MICHIGAN AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,114,1,42,32,6,1177248,1902291,2018,1/10/2019 15:16,41.88722282,-87.62454519,"(41.887222817, -87.624545187)",22,"14,309",38,580,36,42,22,87
11550851,JB572263,12/30/2018 3:45,009XX W BELMONT AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,TRUE,FALSE,1924,19,44,6,6,1169236,1921430,2018,2/6/2019 16:03,41.93991914,-87.65341016,"(41.939919138, -87.653410162)",38,"4,449",57,731,25,22,5,28
11550881,JB572295,12/30/2018 1:00,033XX N HALSTED ST,810,THEFT,OVER $500,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,6,1170328,1922592,2018,1/10/2019 15:16,41.94308388,-87.64936267,"(41.943083876, -87.649362673)",38,"4,449",57,730,25,22,5,18
11551110,JB572606,12/30/2018 1:00,006XX N DEARBORN ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1832,18,42,8,6,1175825,1904582,2018,1/10/2019 15:16,41.89354158,-87.62970181,"(41.893541578, -87.629701805)",22,"4,446",37,669,36,55,14,72
11550811,JB572249,12/30/2018 0:01,006XX N FRANKLIN ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1174211,1904618,2018,1/10/2019 15:16,41.89367653,-87.63562833,"(41.893676531, -87.635628328)",22,"4,446",37,652,36,55,14,73
11554183,JC101924,12/30/2018 0:00,001XX W HUBBARD ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1175301,1903292,2018,1/10/2019 15:16,41.89001352,-87.631665,"(41.890013524, -87.631664996)",22,"4,446",37,670,36,55,14,73
11551212,JB572762,12/29/2018 23:00,014XX N WELLS ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1821,18,27,8,6,1174441,1909982,2018,1/10/2019 15:16,41.90839049,-87.63462318,"(41.908390488, -87.634623176)",51,"14,926",37,290,46,54,14,198
