"uid","store_name","license_id","account_number","square_feet","buffer_size","address","zip_code","community_area_name_x","community_area_x","ward","census_tract","census_block","x_coordinate","y_coordinate","latitude","longitude","location","community_areas","zip_codes","boundaries_zip_codes","census_tracts","wards","computed_region_awaf_s7ux","KEY","community_area_y","community_area_name_y","birth_rate","low_birth_weight","prenatal_care_beginning_in_first_trimester","preterm_births","teen_birth_rate","infant_mortality_rate","below_poverty_level","crowded_housing","dependency","no_high_school_diploma","per_capita_income","unemployment"
239,"H & Z GROCERY STORE",3166,2823,10001,"A","3638 W WRIGHTWOOD AVE",60647,"LOGAN SQUARE",22,35,17031220702,170312207024010,1151510.73770679,1917078.38270884,41.9283452514,-87.7186708995,"(41.9283452514, -87.7186708995)",23,22535,1,107,17,15,"logansquare",22,"Logan Square",18.2,7.2,78.2,9.4,66.1,4.3,17.2,3.2,26.7,18.5,29026,7.5
240,"SEVEN ELEVEN",34710,14901,3000,"B","1425 W MONTROSE AVE",60613,"LAKE VIEW",6,47,17031060100,170310601001000,1165738.538,1929275.819,41.9615238247,-87.6660398556,"(41.9615238247, -87.6660398556)",57,21186,53,650,18,13,"lakeview",6,"Lake View",13.5,6.3,79.1,8.1,15.8,2.2,10.5,1.2,16.5,2.9,58227,4.7
241,"ALDI FOODS #91",13994,5273,15565,"A","3835 W MADISON ST",60624,"WEST GARFIELD PARK",26,28,17031260800,170312608001000,1150675.92099303,1899694.80960073,41.8806594115,-87.7221936689,"(41.8806594115, -87.7221936689)",27,21572,30,736,23,11,"westgarfieldpark",26,"West Garfield Park",20.1,17,71.4,17.5,114.9,19,40.3,8.9,42.5,26.2,10951,25.2
242,"ALDI'S",1817904,5273,11179,"A","6520 W FULLERTON AVE",60707,"BELMONT CRAGIN",19,36,17031831500,170318315001045,1132452.10314639,1915278.75156441,41.9237604017,-87.7887477626,"(41.9237604017, -87.7887477626)",19,22615,3,137,44,39,"belmontcragin",19,"Belmont Cragin",20,6.9,74.1,7.6,68.2,5.6,18.6,10,36.9,37,15246,11.5
243,"LORETO GROCERY",76774,22681,4499,"B","4600 S FAIRFIELD AVE",60632,"BRIGHTON PARK",58,12,17031842800,170318428002005,1158768.52753762,1874004.90087918,41.8100014783,-87.6931813523,"(41.8100014783, -87.6931813523)",55,22248,56,85,3,29,"brightonpark",58,"Brighton Park",20.6,7.2,82.7,8.3,58.1,5.9,23,13.2,39.8,48.2,13138,11.2
244,"LUX 2 FOOD & LIQUOR",1869021,322813,2500,"B","7550 S MAY ST",60620,"AUBURN GRESHAM",71,17,17031710200,170317102004006,1169927.28946653,1854470.97664035,41.7561626996,-87.6528196032,"(41.7561626996, -87.6528196032)",70,21554,59,572,31,17,"auburngresham",71,"Auburn Gresham",15.1,11.6,71.8,13.9,83.1,15.6,24.5,4.1,42.1,19.5,16022,24.2
245,"AROUND THE CLOCK",15860,6777,3000,"B","1605 W HOWARD ST",60626,"ROGERS PARK",1,49,17031010202,170310102021000,1164071.30189687,1950305.43608012,42.0192651821,-87.6715720734,"(42.0192651821, -87.6715720734)",10,21853,9,489,5,3,"rogerspark",1,"Rogers Park",16.4,11,73,11.2,40.8,6.4,22.7,7.9,28.8,18.1,23714,7.5
246,"COUNTY FAIR FOODS",37096,15344,10001,"A","10800 S WESTERN AVE",60643,"MORGAN PARK",75,19,17031750300,170317503001022,1162271.31138985,1832938.98729092,41.6972382088,-87.6814748042,"(41.6972382088, -87.6814748042)",74,22212,33,314,42,33,"morganpark",75,"Morgan Park",13.2,10.6,74.5,12.3,46.7,13.1,13.7,0.8,39.4,10.9,26185,14.9
247,"LAWNDALE FOOD MARKET",39529,15829,6000,"B","3705 W 16TH ST",60623,"NORTH LAWNDALE",29,24,17031292200,170312922003000,1151911.13919901,1891750.08439969,41.8588339683,-87.7178671863,"(41.8588339683, -87.7178671863)",30,21569,57,800,14,36,"northlawndale",29,"North Lawndale",20.6,15.3,75.8,15.2,108.9,14.1,38.6,7.2,40.9,30.4,12548,18.5
248,"HYDE PARK PRODUCE, LTD",1884100,325993,10000,"A","1226 E 53RD ST",60615,"HYDE PARK",41,4,17031410700,170314107001003,1185427.70534566,1870419.66975962,41.7995768022,-87.5955129219,"(41.7995768022, -87.5955129219)",8,21192,10,499,10,1,"hydepark",41,"Hyde Park",9.7,5.9,80.3,5.5,7.6,10.4,18.2,2.5,26.7,5.3,39243,6.9
