address,categories,city,cuisines,latitude,longitude,name,neighborhoods,postalCode
1936 E 95th St,"Delis And Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Chicago,"Soups,Sandwich Shops",41.7225,-87.5767,Subway,"Far South Chicago, Calumet Heights",60617
5040 S Cottage Grove Ave,"Delis And Delicatessens,Restaurant,wich Place,Fast Food,Take Out Restaurants,Fast Food Restaurants,Sandwich Place Grand Boulevard,Sandwich Place,Restaurants,Sandwich Shops",Chicago,"Fast Food,Take Out Restaurants,Soups",41.8027,-87.6064,Subway,"South Side, Grand Boulevard, Bronzeville",60615
7358 S Stony Island Ave,"Delis And Delicatessens,Restaurant,Take Out,Delicatessens,Fast Food,Fast Food Restaurants,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Chicago,"Fast Food,Soups,Take Out Restaurants",41.7608,-87.5862,Subway,"Far South Chicago, Grand Crossing",60649
62 E Jackson Boulevard,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.87833,-87.62564,Subway,"Central Chicago,The Loop",60604
4435 W Grand Avenue,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.91039,-87.7377,Subway,"Northwest Side,Hermosa",60639
951 W Addison Street,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.94719,-87.65363,Subway,"Wrigleyville,North Side,Lakeview",60613
3538 E 118th Street,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.68098,-87.53732,Subway,"Hegewisch,Far South Chicago",60617
753 W 31st Street,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.83801,-87.64546,Subway,"Bridgeport,Southwest Side",60616
187 N Neltnor Blvd,"Sandwiches/subs,Take Out Restaurants,Fast Food Restaurants,Carry Out,Restaurants,Mastercard Accepted,Visa Accepted,Delis And Delicatessens,Cheap Eats,wich Place,Soups,Food & Entertainment,Sandwich Place,Sandwich Shops",West Chicago,"Pizza,Soups,Sandwich Shops",41.8851,-88.1945,Subway,West Chicago,60185
6044 S Western Ave,"Carry-out food,Delicatessens,American Restaurant,American restaurants,Fast Food,Fast Food Restaurants,Take Out Restaurants,Carry Out,Restaurants,Delis And Delicatessens,Restaurant,wich Place,Soups,Sandwiches,Sandwich Shops",Chicago,"Fast Food,Fast Food Restaurants,Soups",41.7834,-87.684,Subway,"South Side, West Englewood",60636
9100 S Commercial Ave,"Fast Food Restaurant,Fast Food Restaurants,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Chicago,Take Out Restaurants,41.729881,-87.551875,Subway,"Far South Chicago, South Chicago",60617
3620 W Irving Park Rd,"Restaurant,Fast Food Restaurant,Chicago Restaurants,Sandwich Place",Chicago,,41.953752,-87.718849,Subway,"Irving Park, Northwest Side",60618
6072 N Northwest HWay,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.9916,-87.79794,Subway,"Norwood Park,Northwest Side,Norwood Park East,Old Norwood Park",60631
5316 N Milwaukee Ave Ste 2c,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.97685,-87.76972,Subway,"Northwest Side,Jefferson Park,Gladstone Park",60630
5409 S Harlem Avenue,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.79367,-87.80143,Subway,"Garfield Ridge,Southwest Side",60638
6456 W 63rd Street,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.77771,-87.78362,Subway,"Clearing,Southwest Side",60638
5853 S Kedzie Avenue,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.78698,-87.70329,Subway,"Southwest Side,Gage Park",60629
6450 S Pulaski Road,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Chicago,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants,Sandwiches,Take Out,Fast Food",41.7753,-87.72304,Subway,"West Lawn,Southwest Side",60629
2559 W Devon Avenue,"Indian Restaurants,Asian Restaurants,Caterers,Fast Food Restaurants,Middle Eastern Restaurants,Restaurants",Chicago,"Indian Restaurants,Asian Restaurants,Caterers,Fast Food Restaurants,Middle Eastern Restaurants,Restaurants,Asian,Indian,Fast Food,Middle Eastern",41.99739,-87.6945,Sukhadia Sweets Snacks,"West Ridge,North Side",60659
8106 S Racine Avenue,"Greek Restaurants,Delicatessens,Fast Food Restaurants,Mediterranean Restaurants,Restaurants,Sandwich Shops",Chicago,"Greek Restaurants,Delicatessens,Fast Food Restaurants,Mediterranean Restaurants,Restaurants,Sandwich Shops,Deli,Mediterranean,Greek,Sandwiches,Fast Food,European,Continental",41.74662,-87.65396,Sunrise Gyros,"South Side,Gresham",60620
2810 W Marquette Rd,"Delis And Delicatessens,Burger Joint,Delicatessens,Mediterranean Restaurants,American Restaurant Marquette Park,American Restaurant,Fast Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Chicago,"Mediterranean,Delicatessens,Mediterranean Restaurants,Fast Food Restaurants,Fast Food,Sandwiches,Greek,Restaurants,Deli,Sandwich Shops",41.771916,-87.693686,Super Sub Gyro,"Marquette Park,South Side,Marquette Park, South Side",60629
6363 N Milwaukee Avenue,"Caterers,Burgers,Fast Food Restaurants,Take Out Restaurants,Breakfast Brunch and Lunch Restaurants,,Family Style Restaurants,Restaurants,Meat,American Restaurants,Hot Dog Stands and Restaurants,Hotels and Lodging,Hot Dogs,Hamburgers and Hot Dogs",Chicago,"Take Out,Caterers,Breakfast,American,Burgers,Fast Food Restaurants,Take Out Restaurants,Breakfast Brunch and Lunch Restaurants,,Fast Food,Family Style Restaurants,Brunch and Lunch,Restaurants,Meat,Family Style,American Restaurants,Hot Dog Stands and Restaurants,Hot Dogs,Hamburgers and Hot Dogs",41.99681,-87.78718,Superdawg Drive-In,"Northwest Side,Norwood Park,Norwood Park East",60646
4126 W Montrose Avenue,"Coffee Shops,American Restaurants,Delicatessens,Fast Food Restaurants,Restaurants",Chicago,"Coffee Shops,American Restaurants,Delicatessens,Fast Food Restaurants,Restaurants,Deli,American,Fast Food,Cafeterias",41.96101,-87.73107,Susie's Drive In,"Mayfair,Northwest Side",60641
1339 W Taylor Street,"American Restaurants,Caterers,American,Restaurant Delivery Service,Breakfast Brunch and Lunch Restaurants,,Fast Food Restaurants,Take Out Restaurants,Family Style Restaurants,Restaurants",Chicago,"Take Out,Caterers,Breakfast,American,Restaurant Delivery Service,Breakfast Brunch and Lunch Restaurants,,Fast Food Restaurants,Take Out Restaurants,Fast Food,Family Style Restaurants,Brunch and Lunch,Restaurants,Family Style,American Restaurants,Delivery",41.86912,-87.66067,Sweet Maple Cafe,"West Side,University Village Little Italy",60607
1644 W 95th St,"Mexican Restaurant,Carry-out food,Restaurant,Mexican,Breakfast,Mexican Restaurants,Tex-mex restaurants,Vegetarian,Southwestern restaurants,Fast Food Restaurant,Fast Food,Restaurants",Chicago,"Mexican,Fast Food,Fast Food Restaurants",41.7215,-87.6645,Taco Bell,"Far South Chicago, Beverly",60643
3511 W Devon Ave,"Take Out,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants,Mexican Restaurant,Fast Food Restaurant and Mexican Restaurant,Restaurant,Fast Food Restaurant,Family Restaurants",Chicago,Mexican Restaurants,41.997148,-87.716485,Taco Bell,"Pulaski Park, Northwest Side, North Park",60659
5130 S Lake Park Ave,"Carry-out food,Mexican Restaurants,Steak and chop restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants,Family style restaurants,Barbecue,Spare rib restaurants,Sandwiches",Chicago,Mexican Restaurants,41.801624,-87.58762,Taco Time,"Far South Chicago, Hyde Park",60615
1512 W Taylor Street,"Indian Restaurants,Asian Restaurants,Caterers,Fast Food Restaurants,Middle Eastern Restaurants,Restaurants",Chicago,"Indian Restaurants,Asian Restaurants,Caterers,Fast Food Restaurants,Middle Eastern Restaurants,Restaurants,Asian,Indian,Fast Food,Middle Eastern",41.86951,-87.6647,Taj Mahal Fast Foods,"West Side,University Village Little Italy",60607
3253 S Halsted Street,"Mexican Restaurants,Caterers,Fast Food Restaurants,Spanish Restaurants,Take Out Restaurants,Latin American Restaurants,Restaurants",Chicago,"Take Out,Mexican Restaurants,Caterers,Mexican,Fast Food Restaurants,Spanish Restaurants,Take Out Restaurants,Latin American Restaurants,Fast Food,European,Restaurants,Latin American,Continental,Spanish",41.83491,-87.64584,Taqueria San Jose 1 Inc,"Bridgeport,Southwest Side",60608
438 W Diversey Parkway,"Fast Food Restaurants,American Restaurants,Caterers,Restaurants,Take Out Restaurants",Chicago,"Fast Food Restaurants,American Restaurants,Caterers,Restaurants,Take Out Restaurants,American,Take Out,Fast Food",41.93292,-87.64089,The Chipmunks,"Lake View East,Lakeview,Park West,North Side,Lincoln Park",60614
2622 N Clark Street,"American Restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"American Restaurants,Take Out,American,Burgers,Hot Dogs,Fast Food Restaurants,Take Out Restaurants,Fast Food,Hamburgers and Hot Dogs,Restaurants",41.93014,-87.64394,The Wiener's Circle,"North Side,Park West,Lincoln Park",60614
101 E 47th Street,"Asian Restaurants,American Restaurants,Mediterranean Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Italian Restaurants",Chicago,"Take Out Restaurants,Fast Food Restaurants,Italian Restaurants,Mediterranean Restaurants,Restaurants,Mediterranean,Take Out,Fast Food,Italian,European,Continental",41.8092,-87.62284,Tony's Carryouts,"South Side,Grand Boulevard,Bronzeville",60653
7007 S Pulaski Road,"American Restaurants,Caterers,Italian Grocery Stores,Steak Houses,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Hamburgers and Hot Dogs,Restaurants,Italian Restaurants,Sandwich Shops",Chicago,"Caterers,Italian Grocery Stores,Breakfast,Italian,American,Burgers,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Fast Food,Brunch and Lunch,European,Restaurants,Italian Restaurants,American Restaurants,Steak Houses,Continental,Hot Dogs,Steakhouse,Hamburgers and Hot Dogs,Sandwiches,Sandwich Shops",41.76561,-87.72206,Tony's Italian Beef,"West Lawn,Southwest Side",60629
177 N State St,"Chinese Restaurant,Fast Food Restaurant, American Restaurant, and Sandwich Place,Fast Food Restaurant, American Restaurant, and Sandwich Place The Loop,Chinese Restaurant The Loop",Chicago,Restaurants,41.885425,-87.627963,Triple 1 Chinese Restaurant,"Central Chicago, The Loop",60601
185 N Franklin Street,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",41.88541,-87.63533,U.B. Dogs,"Central Chicago,The Loop",60606
4626 N Cumberland Ave,"Asian Restaurants,Restaurant,Japanese Restaurants,Sushi Restaurant,Fast Food,Sushi Bars,Sushi,Restaurants",Chicago,"Sushi Bars,Japanese Restaurants,Asian Restaurants,Restaurants,Japanese,Asian,Sushi,Fast Food",41.96391,-87.836967,Umami Sushi,Schorsch Forest View,60656
8251 S Cottage Grove Avenue,"Barbecue Restaurants,American Restaurants,Fast Food Restaurants,Restaurants",Chicago,"Barbecue Restaurants,American Restaurants,Fast Food Restaurants,Restaurants,Barbecue,American,Fast Food",41.74413,-87.60462,Uncle John's,"South Side,Chatham,East Chatham",60619
3943 N Harlem Ave,"Burger Joint,Restaurant,Fast Food Restaurant,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Burgers,American,Hot Dogs,Fast Food",41.95202,-87.80688,Wendy's,"Northwest Side,Dunning",60634
3516 E 118th Street,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Fast Food",41.68099,-87.53781,Wendy's,"Hegewisch,Far South Chicago",60617
8645 S Stony Island Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Fast Food",41.73744,-87.58513,Wendy's,"Far South Chicago,Stony Island Park",60617
758 W 117th Street,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Fast Food",41.68245,-87.64164,Wendy's,"West Pullman,Far South Chicago",60628
7 E 111th Street,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Fast Food",41.69253,-87.62268,Wendy's,"Far South Chicago,Roseland",60628
4901 W North Ave,"Burger Joint,Restaurant,Fast Food Restaurant",Chicago,Fast Food Restaurants,41.909245,-87.748784,Wendys,"Austin, North Austin, Northwest Side",60639
758 W 117th St,"Burger Joint,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Restaurants",Chicago,,41.682163,-87.641657,Wendys,"West Pullman, Far South Chicago",60628
242 W Garfield Blvd,"Burger Joint,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,"Fast Food,Fast Food Restaurants,Restaurants,Hamburgers and Hot Dogs,Burgers,American,Hot Dogs",41.794889,-87.632609,Wendys,"Back of the Yards,Fuller Park,Southwest Side,Back Of The Yards",60609
754 S Western Ave,"Middle Eastern Restaurant,Greek Restaurants,Turkish restaurants,Mediterranean Restaurants,Fast Food Restaurants,Armenian restaurants,Greek restaurants,Restaurants",Chicago,"Greek Restaurants,Mediterranean Restaurants,Fast Food Restaurants,Restaurants,Mediterranean,Greek,Fast Food,European,Continental",41.871321,-87.686277,Westside Gyros,"West Side,Lawndale",60612
2140 S Wabash Ave,"Restaurant,Burger Joint,Fast Food Restaurant,Fast Food,Restaurants",Chicago,Fast Food,41.853131,-87.626099,White Castle,"Central Chicago, South Loop",60616
3212 W Addison St,"Burger Joint,Restaurant,Fast Food Restaurant",Chicago,"Fast Food,American,Fast Food Restaurants",41.946866,-87.708443,White Castle,"Northwest Side, Avondale",60618
6646 S Halsted St,"Take Out,Carry-out food,Hot dog restaurants,Fast Food Restaurant Englewood,Hamburger restaurants,Fast Food,Fast Food Restaurants,Burger Restaurants,Restaurants,Hamburgers & Hot Dogs,Restaurant,American Restaurants,Fast Food Restaurant",Chicago,"Fast Food,Fast Food Restaurants,Hamburgers",41.7729,-87.645,White Castle,"South Side, Englewood",60621
5618 W North Ave,"Restaurant,Take Out,Fast Food Restaurant,Fast Food Restaurants,Burger Restaurants,Restaurants",Chicago,"Fast Food Restaurants,Fast Food,Hamburgers",41.9097,-87.7664,White Castle,"North Austin, Northwest Side, Austin",60639
11050 S Halsted St,"Hamburgers & Hot Dogs,American Restaurants,Fast Food Restaurant Morgan Park,Fast Food Restaurant,Fast Food Restaurants,Restaurants",Chicago,"Fast Food Restaurants,Fast Food,Hamburgers",41.693,-87.6425,White Castle,"Far South Chicago, Morgan Park",60628
10301 S Michigan Ave,"Hamburgers & Hot Dogs,American Restaurants,Take Out,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Fast Food Restaurant Rosemoor,Hamburger restaurants,Fast Food Restaurants,Burger Restaurants,Restaurants",Chicago,"American Restaurants,Fast Food,Hamburgers",41.7072,-87.6202,White Castle,"Far South Chicago, Rosemoor, Roseland",60628
